state,county,rep2008,dem2008,other2008,turnout2008,rep2012,dem2012,other2012,turnout2012,pop,dem_margin08,dem_margin12,winner08,winner12,pop_decile
nebraska,nance,1110,540,0,1650,1098,477,29,1604,3755,-0.34545454545454546,-0.3942857142857143,Rep (McCain),Rep (Romney),1
nebraska,deuel,732,243,0,975,763,215,34,1012,1963,-0.5015384615384615,-0.5603271983640081,Rep (McCain),Rep (Romney),1
nebraska,colfax,2014,1125,0,3139,2045,959,43,3047,10201,-0.2832112137623447,-0.3615179760319574,Rep (McCain),Rep (Romney),3
nebraska,sioux,600,116,0,716,623,101,11,735,1340,-0.6759776536312849,-0.7209944751381215,Rep (McCain),Rep (Romney),1
nebraska,hayes,460,85,0,545,473,50,12,535,1025,-0.6880733944954128,-0.8087954110898662,Rep (McCain),Rep (Romney),1
nebraska,stanton,1772,657,0,2429,1945,607,71,2623,6207,-0.45903664059283655,-0.524294670846395,Rep (McCain),Rep (Romney),2
nebraska,scottsbluff,9575,4645,0,14220,9427,4193,247,13867,36569,-0.3466947960618847,-0.384287812041116,Rep (McCain),Rep (Romney),6
nebraska,howard,1847,1083,0,2930,1890,914,52,2856,6302,-0.26075085324232083,-0.34807417974322397,Rep (McCain),Rep (Romney),2
nebraska,furnas,1725,556,0,2281,1767,422,26,2215,4942,-0.5124945199473915,-0.6144358154408406,Rep (McCain),Rep (Romney),1
nebraska,grant,321,41,0,362,322,30,11,363,661,-0.7734806629834254,-0.8295454545454546,Rep (McCain),Rep (Romney),1
nebraska,holt,3663,1065,0,4728,3789,862,98,4749,10479,-0.549492385786802,-0.6293270264459256,Rep (McCain),Rep (Romney),3
nebraska,keith,2917,965,0,3882,3036,920,70,4026,8356,-0.502833590932509,-0.5348837209302325,Rep (McCain),Rep (Romney),2
nebraska,cherry,2360,599,0,2959,2557,436,59,3052,5783,-0.5951334910442717,-0.7086535248914133,Rep (McCain),Rep (Romney),2
nebraska,harlan,1327,399,0,1726,1248,311,25,1584,3460,-0.5376593279258401,-0.6010262989095574,Rep (McCain),Rep (Romney),1
nebraska,richardson,1880,1121,0,3001,2407,1180,93,3680,8455,-0.2529156947684105,-0.34206858098689713,Rep (McCain),Rep (Romney),2
nebraska,redwillow,3748,1216,0,4964,3855,940,73,4868,11069,-0.5100725221595488,-0.607924921793535,Rep (McCain),Rep (Romney),3
nebraska,nuckolls,1607,692,0,2299,1563,567,40,2170,4583,-0.3979991300565463,-0.4676056338028169,Rep (McCain),Rep (Romney),1
nebraska,perkins,1086,310,0,1396,1133,237,21,1391,2983,-0.5558739255014327,-0.654014598540146,Rep (McCain),Rep (Romney),1
nebraska,clay,2134,761,0,2895,2213,662,41,2916,6554,-0.47426597582038,-0.5394782608695652,Rep (McCain),Rep (Romney),2
nebraska,dakota,3255,2966,0,6221,3048,2831,98,5977,20674,-0.04645555376949043,-0.03691103929239667,Rep (McCain),Rep (Romney),5
nebraska,adams,8163,4624,0,12787,8235,3991,225,12451,31126,-0.2767654649253148,-0.3471290691967937,Rep (McCain),Rep (Romney),6
nebraska,valley,1647,704,0,2351,1643,494,31,2168,4284,-0.4011059123777116,-0.5376696303228825,Rep (McCain),Rep (Romney),1
nebraska,logan,327,81,0,408,356,68,7,431,682,-0.6029411764705882,-0.6792452830188679,Rep (McCain),Rep (Romney),1
nebraska,blaine,266,43,0,309,268,29,4,301,539,-0.7216828478964401,-0.8047138047138047,Rep (McCain),Rep (Romney),1
nebraska,loup,302,86,0,388,290,62,4,356,635,-0.5567010309278351,-0.6477272727272727,Rep (McCain),Rep (Romney),1
nebraska,thurston,970,1108,0,2078,823,1153,17,1993,6907,0.06641000962463908,0.16700404858299595,Dem (Obama),Dem (Obama),2
nebraska,greeley,714,457,0,1171,820,340,21,1181,2542,-0.21947053800170793,-0.41379310344827586,Rep (McCain),Rep (Romney),1
nebraska,washington,6409,3681,0,10090,6857,3103,161,10121,20148,-0.2703666997026759,-0.37690763052208837,Rep (McCain),Rep (Romney),5
nebraska,sherman,940,583,0,1523,919,549,40,1508,3144,-0.23440577806959947,-0.25204359673024523,Rep (McCain),Rep (Romney),1
nebraska,pawnee,857,481,0,1338,897,396,37,1330,2767,-0.28101644245142005,-0.3874709976798144,Rep (McCain),Rep (Romney),1
nebraska,dawes,2330,1245,0,3575,2435,1102,97,3634,9149,-0.3034965034965035,-0.3768730562623692,Rep (McCain),Rep (Romney),2
nebraska,cuming,2701,1255,0,3956,2858,1015,55,3928,9243,-0.365520728008089,-0.4758585076168345,Rep (McCain),Rep (Romney),2
nebraska,buffalo,12920,5768,0,18688,13378,5266,413,19057,45437,-0.3827054794520548,-0.4350997639991418,Rep (McCain),Rep (Romney),7
