state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Arkansas,Conway County,5893,2449,8541,3444,0.6899660461304297,0.2867345744058073,0.4032314717246224
Arkansas,Craighead County,25152,11210,37242,13942,0.6753665216690833,0.3010042425218839,0.3743622791471994
Arkansas,Crawford County,18615,4753,23834,13862,0.7810271041369472,0.199420995216917,0.5816061089200302
Arkansas,Crittenden County,7028,7362,14681,-334,0.4787139840610313,0.5014644778966011,-0.02275049383556982
Arkansas,Cross County,4753,1642,6534,3111,0.7274257728803183,0.251300887664524,0.4761248852157942
Arkansas,Dallas County,1482,798,2324,684,0.6376936316695353,0.3433734939759036,0.2943201376936317
Arkansas,Desha County,1805,1638,3505,167,0.514978601997147,0.4673323823109843,0.04764621968616267
Arkansas,Drew County,4203,2050,6365,2153,0.6603299293008641,0.3220738413197172,0.33825608798114687
Arkansas,Faulkner County,35357,17752,54465,17605,0.6491691912237216,0.3259340861103461,0.32323510511337555
Arkansas,Franklin County,5582,1232,6971,4350,0.8007459474967723,0.1767321761583704,0.624013771338402
Arkansas,Fulton County,4040,906,5043,3134,0.8011104501288915,0.17965496728138014,0.6214554828475114
Arkansas,Garland County,28359,13015,42327,15344,0.6699978736976399,0.3074869468660666,0.36251092683157327
Arkansas,Grant County,6755,1192,8078,5563,0.8362218370883883,0.14756127754394652,0.6886605595444417
Arkansas,Greene County,12617,2935,15820,9682,0.7975347661188369,0.18552465233881163,0.6120101137800252
Arkansas,Hempstead County,4193,1776,6089,2417,0.6886188208244375,0.2916735096074889,0.3969453112169486
Arkansas,Hot Spring County,9226,2818,12283,6408,0.7511194333631849,0.22942277945127412,0.5216966539119108
Arkansas,Howard County,3246,1158,4473,2088,0.7256874580818243,0.25888665325285043,0.4668008048289739
Arkansas,Independence County,11023,2689,14011,8334,0.7867389907929484,0.19192063378773824,0.5948183570052101
Arkansas,Izard County,4854,949,5925,3905,0.8192405063291139,0.16016877637130802,0.6590717299578059
Arkansas,Jackson County,3509,1183,4775,2326,0.734869109947644,0.24774869109947645,0.48712041884816754
Arkansas,Jefferson County,8468,12802,21608,-4334,0.3918918918918919,0.5924657534246576,-0.20057386153276568
Arkansas,Johnson County,6766,2107,9059,4659,0.7468815542554366,0.2325863781874379,0.5142951760679987
Arkansas,Lafayette County,1589,698,2325,891,0.6834408602150538,0.3002150537634409,0.3832258064516129
Arkansas,Lawrence County,4608,965,5692,3643,0.8095572733661279,0.16953619114546734,0.6400210822206606
Arkansas,Lee County,1181,1270,2520,-89,0.4686507936507937,0.503968253968254,-0.0353174603174603
Arkansas,Lincoln County,2502,813,3372,1689,0.7419928825622776,0.2411032028469751,0.5008896797153025
Arkansas,Little River County,3744,1084,4899,2660,0.7642375995101041,0.2212696468667075,0.5429679526433966
Arkansas,Logan County,6567,1464,8205,5103,0.8003656307129798,0.17842778793418648,0.6219378427787934
Arkansas,Lonoke County,23225,6790,30620,16435,0.758491182233834,0.2217504898758981,0.536740692357936
Arkansas,Madison County,5885,1491,7501,4394,0.7845620583922144,0.1987734968670844,0.5857885615251299
Arkansas,Marion County,6230,1501,7851,4729,0.7935294866895937,0.19118583619921029,0.6023436504903834
Arkansas,Miller County,11842,3769,15803,8073,0.7493513889767766,0.23849901917357463,0.5108523698032019
Arkansas,Mississippi County,6963,3574,10717,3389,0.6497154054306242,0.3334888494914622,0.31622655593916205
Arkansas,Monroe County,1385,1002,2433,383,0.5692560624743116,0.4118372379778052,0.1574188244965064
Arkansas,Montgomery County,2987,645,3707,2342,0.8057728621526841,0.17399514432155383,0.6317777178311302
Arkansas,Nevada County,2002,849,2907,1153,0.6886824905400757,0.29205366357069146,0.39662882696938423
Arkansas,Newton County,3063,644,3770,2419,0.8124668435013263,0.17082228116710876,0.6416445623342175
Arkansas,Ouachita County,5056,3412,8626,1644,0.5861349408764202,0.3955483422211918,0.1905865986552284
Arkansas,Perry County,3559,923,4584,2636,0.7763961605584643,0.2013525305410122,0.5750436300174521
Arkansas,Phillips County,2098,2754,4938,-656,0.4248683677602268,0.5577156743620899,-0.1328473066018631
Arkansas,Pike County,3746,560,4358,3186,0.8595686094538779,0.12849931161083067,0.7310692978430473
Arkansas,Poinsett County,5731,1235,7079,4496,0.8095776239581862,0.17445966944483685,0.6351179545133494
Arkansas,Polk County,6987,1145,8288,5842,0.8430260617760618,0.1381515444015444,0.7048745173745173
Arkansas,Pope County,18118,5487,24191,12631,0.7489562233888636,0.22681989169525857,0.522136331693605
Arkansas,Prairie County,2628,524,3200,2104,0.82125,0.16375,0.6575
Arkansas,Pulaski County,57977,92038,153924,-34061,0.3766599100854968,0.5979444401133027,-0.22128453002780596
Arkansas,Randolph County,5367,1138,6636,4229,0.8087703435804702,0.17148884870403858,0.6372814948764316
Arkansas,St. Francis County,2909,2953,5979,-44,0.48653621006857334,0.49389530021742767,-0.00735909014885433
Arkansas,Saline County,39736,16609,57609,23127,0.6897533371521811,0.2883056466871496,0.40144769046503154
Arkansas,Scott County,2913,425,3384,2488,0.8608156028368794,0.12559101654846336,0.735224586288416
Arkansas,Searcy County,3305,511,3869,2794,0.8542258981649005,0.1320754716981132,0.7221504264667873
Arkansas,Sebastian County,30719,13652,45452,17067,0.675855847927484,0.3003608202059315,0.37549502772155247
Arkansas,Sevier County,3772,862,4714,2910,0.8001697072549852,0.1828595672464998,0.6173101400084854
Arkansas,Sharp County,5978,1316,7437,4662,0.8038187441172516,0.17695307247546055,0.6268656716417911
Arkansas,Stone County,4808,1089,6030,3719,0.7973466003316749,0.1805970149253731,0.6167495854063018
Arkansas,Union County,10196,5019,15448,5177,0.6600207146556188,0.3248964267219058,0.33512428793371307
Arkansas,Van Buren County,6023,1437,7621,4586,0.790316231465687,0.18855793202991733,0.6017582994357696
Arkansas,Washington County,50243,43779,97158,6464,0.5171267420078635,0.4505959365157785,0.06653080549208501
Arkansas,White County,24514,5641,30837,18873,0.7949541135648733,0.1829295975613711,0.6120245160035023
Arkansas,Woodruff County,1513,760,2318,753,0.6527178602243313,0.32786885245901637,0.32484900776531495
Arkansas,Yell County,5147,1213,6477,3934,0.7946580206885904,0.18727806083063148,0.6073799598579589
California,Alameda County,140789,499551,669800,-358762,0.21019558077037925,0.7458211406389967,-0.5356255598686175
California,Alpine County,243,479,738,-236,0.32926829268292684,0.6490514905149052,-0.31978319783197834
California,Amador County,14018,7783,22402,6235,0.6257477010981163,0.3474243371127578,0.2783233639853585
California,Butte County,47179,44228,94523,2951,0.4991271965553357,0.46790728182558744,0.03121991472974827
California,Calaveras County,16625,9181,26479,7444,0.6278560368593981,0.34672759545300047,0.2811284414063976
California,Colusa County,4414,2431,7021,1983,0.6286853724540664,0.34624697336561744,0.282438399088449
California,Contra Costa County,155308,356008,528904,-200700,0.29364119008364464,0.6731051381725228,-0.3794639480888782
California,Del Norte County,5999,4266,10564,1733,0.5678720181749337,0.4038243089738736,0.16404770920106015
California,El Dorado County,61109,47703,111890,13406,0.5461524711770489,0.4263383680400394,0.11981410313700958
California,Fresno County,165924,151628,325994,14296,0.5089786928593778,0.46512512500230063,0.04385356785707717
California,Glenn County,6904,3260,10442,3644,0.6611760199195557,0.31220072782991765,0.348975292089638
California,Humboldt County,21559,39800,64228,-18241,0.33566357351933734,0.6196674347636545,-0.28400386124431715
California,Imperial County,26546,26083,54025,463,0.49136510874595096,0.4827950023137436,0.00857010643220734
California,Inyo County,4468,4201,8951,267,0.4991621047927606,0.4693330354150374,0.02982906937772317
California,Kern County,167879,108241,283246,59638,0.5926968077219096,0.38214484935356546,0.21055195836834412
California,Kings County,25074,15519,41501,9555,0.604178212573191,0.37394279655911905,0.230235416014072
California,Lake County,13161,12794,26759,367,0.4918345229642363,0.478119511192496,0.01371501177174039
California,Lassen County,8619,2478,11371,6141,0.7579808284231818,0.2179227860346495,0.5400580423885323
California,Los Angeles County,1189862,2417109,3728427,-1227247,0.3191324384251053,0.648291893605534,-0.32915945518042866
California,Madera County,32344,20981,54624,11363,0.5921206795547744,0.3840985647334505,0.20802211482132393
California,Marin County,24054,116152,144113,-92098,0.16691068814055637,0.8059786417602853,-0.639067953619729
California,Mariposa County,5625,3622,9509,2003,0.5915448522452413,0.3809023030812914,0.21064254916394992
California,Mendocino County,13528,24049,39216,-10521,0.3449612403100775,0.6132445940432476,-0.2682833537331701
California,Merced County,43955,40190,86392,3765,0.5087855356977498,0.465205111584406,0.04358042411334378
California,Modoc County,2884,1008,4016,1876,0.7181274900398407,0.250996015936255,0.4671314741035857
California,Mono County,2294,3522,6064,-1228,0.3782981530343008,0.5808047493403694,-0.2025065963060686
California,Monterey County,49226,93060,146718,-43834,0.33551438814596707,0.6342780026990553,-0.29876361455308825
California,Napa County,20357,43212,65549,-22855,0.3105615646310394,0.659232024897405,-0.34867046026636556
California,Nevada County,26177,33784,62132,-7607,0.4213126891135003,0.543745573939355,-0.12243288482585468
California,Orange County,654815,691731,1390965,-36916,0.47076310331316745,0.497302951548026,-0.02653984823485855
California,Placer County,123941,103958,234809,19983,0.5278375190048081,0.4427343074584024,0.08510321154640577
California,Plumas County,5725,4020,10067,1705,0.5686897784841561,0.3993245256779577,0.16936525280619846
California,Riverside County,463677,451782,940405,11895,0.49306096841254565,0.4804121628447318,0.01264880556781383
California,Sacramento County,252140,381564,656626,-129424,0.3839933234443961,0.5810979157084855,-0.19710459226408936
California,San Benito County,11702,15179,27649,-3477,0.42323411334948824,0.5489891135303266,-0.1257550001808384
California,San Bernardino County,378416,362114,761714,16302,0.4967953851445556,0.4753936516855408,0.0214017334590148
California,San Diego County,593270,841372,1477786,-248102,0.40145866857582896,0.5693463058927342,-0.1678876373169052
California,San Francisco County,62594,323719,402964,-261125,0.15533397524344603,0.8033447156569817,-0.6480107404135357
California,San Joaquin County,128996,126647,263671,2349,0.4892308975958676,0.4803220680317517,0.00890882956411587
California,San Luis Obispo County,64932,81314,150766,-16382,0.4306806574426595,0.5393391082870144,-0.10865845084435488
California,San Mateo County,76616,242957,330510,-166341,0.23181144292154549,0.7350972739100179,-0.5032858309884725
California,Santa Barbara County,64870,114149,184715,-49279,0.35118967057358635,0.6179736350594158,-0.2667839644858295
California,Santa Clara County,210924,510744,750433,-299820,0.2810697290764132,0.680599067471713,-0.39952933839529975
California,Santa Cruz County,27978,100998,134135,-73020,0.20858090729488948,0.7529578409811011,-0.5443769336862117
California,Shasta County,59539,27130,88900,32409,0.6697300337457818,0.3051743532058493,0.3645556805399325
California,Sierra County,1066,641,1754,425,0.6077537058152793,0.3654503990877993,0.24230330672748
California,Siskiyou County,12461,8329,21489,4132,0.5798780771557541,0.38759365256642936,0.19228442458932476
California,Solano County,70345,113997,189834,-43652,0.37056059504619826,0.600508865640507,-0.22994827059430872
California,Sonoma County,63426,179600,251426,-116174,0.25226507998377257,0.7143254874197577,-0.4620604074359851
California,Stanislaus County,106986,85347,197472,21639,0.5417780748663101,0.43219798249878466,0.10958009236752549
California,Sutter County,25372,13016,39336,12356,0.6450071181614806,0.33089282082570676,0.31411429733577384
California,Tehama County,18503,7415,26532,11088,0.6973842906678728,0.2794738429066787,0.41791044776119407
California,Trinity County,2979,2449,5645,530,0.5277236492471213,0.43383525243578386,0.09388839681133748
California,Tulare County,81854,53221,138271,28633,0.5919824113516211,0.3849035589530704,0.20707885239855067
California,Tuolumne County,17210,10909,28810,6301,0.5973620270739327,0.3786532454009025,0.21870878167303023
California,Ventura County,158901,217424,387595,-58523,0.4099665888362853,0.5609566686876766,-0.1509900798513913
California,Yolo County,27844,61405,92589,-33561,0.30072686820248623,0.6631997321496074,-0.36247286394712114
California,Yuba County,18491,10725,30070,7766,0.6149318257399401,0.3566677751912205,0.2582640505487196
Colorado,Adams County,103024,124056,233336,-21032,0.4415263825556279,0.5316624952857681,-0.09013611273014022
Colorado,Alamosa County,4057,3244,7519,813,0.5395664317063439,0.43144035111052,0.10812608059582383
Colorado,Arapahoe County,125311,190725,325451,-65414,0.3850379934306547,0.5860329204703627,-0.200994927039708
Colorado,Archuleta County,5218,3904,9355,1314,0.5577765900587921,0.41731694281133086,0.14045964724746124
Colorado,Baca County,1686,275,2004,1411,0.8413173652694611,0.1372255489021956,0.7040918163672655
Colorado,Bent County,1496,645,2189,851,0.6834170854271356,0.29465509365006853,0.3887619917770671
Colorado,Boulder County,40758,150149,196150,-109391,0.20778995666581696,0.7654804996176395,-0.5576905429518225
Colorado,Broomfield County,16071,29426,46817,-13355,0.34327274280709996,0.6285323707200376,-0.2852596279129377
Colorado,Chaffee County,6034,7992,14416,-1958,0.4185627081021088,0.5543840177580466,-0.1358213096559378
Colorado,Cheyenne County,930,108,1055,822,0.8815165876777251,0.1023696682464455,0.7791469194312797
Colorado,Clear Creek County,2452,3464,6101,-1012,0.40190132765120473,0.5677757744632027,-0.16587444681199798
Colorado,Conejos County,2358,1627,4104,731,0.5745614035087719,0.3964424951267057,0.1781189083820663
Colorado,Costilla County,850,1155,2080,-305,0.40865384615384615,0.5552884615384616,-0.14663461538461542
Colorado,Crowley County,1231,422,1706,809,0.7215709261430246,0.2473622508792497,0.47420867526377497
Colorado,Custer County,2583,1188,3867,1395,0.6679596586501164,0.30721489526764933,0.3607447633824671
Colorado,Delta County,12948,6030,19476,6918,0.6648182378311769,0.3096118299445471,0.35520640788662977
Colorado,Denver County,74765,278634,363076,-203869,0.20592107437561283,0.7674261036256872,-0.5615050292500744
Colorado,Dolores County,1076,325,1419,751,0.7582804792107117,0.22903453136011276,0.529245947850599
Colorado,Douglas County,127451,110408,243758,17043,0.5228587369440183,0.4529410316789602,0.06991770526505803
Colorado,Eagle County,10148,16943,27798,-6795,0.3650622346931434,0.6095042808835168,-0.2444420461903734
Colorado,Elbert County,15209,4768,20417,10441,0.7449184503110153,0.23353088112847137,0.511387569182544
Colorado,El Paso County,203933,166597,380813,37336,0.5355200584013676,0.4374771869657811,0.09804287143558654
